customer_id,signup_date,churn_date,plan,region,acquisition_channel,base_mrr
C000042,2022-01-01,2022-02-01,SMB,APAC,Organic,90.6
C000043,2022-01-01,2025-01-01,SMB,APAC,Organic,77.66
C000044,2022-01-01,2023-01-01,Mid,APAC,Organic,606.04
C000045,2022-01-01,2022-02-01,SMB,US,Organic,88.38
C000046,2022-01-01,2022-02-01,Mid,US,Social,598.14
C000047,2022-01-01,,Mid,US,Social,568.08
C000048,2022-01-01,2022-02-01,SMB,EU,Paid Search,85.62
C000049,2022-01-01,2023-08-01,Mid,APAC,Organic,280.38
C000050,2022-01-01,2022-07-01,SMB,US,Social,56.15
C000051,2022-01-01,2022-10-01,SMB,APAC,Paid Search,69.48
C000052,2022-01-01,2025-01-01,Mid,APAC,Social,891.95
C000053,2022-01-01,2023-07-01,SMB,US,Paid Search,56.95
C000054,2022-01-01,2022-09-01,Mid,APAC,Social,615.19
C000055,2022-01-01,2025-08-01,SMB,US,Paid Search,79.65
C000056,2022-01-01,2023-10-01,SMB,US,Paid Search,62.78
C000057,2022-01-01,2022-02-01,SMB,US,Paid Search,88.74
C000058,2022-01-01,2022-04-01,Mid,US,Paid Search,541.55
C000059,2022-01-01,2024-01-01,SMB,US,Paid Search,95.55
C000060,2022-01-01,,Mid,APAC,Organic,650.63
C000061,2022-01-01,2022-08-01,Mid,US,Social,500.05
C000062,2022-01-01,2024-02-01,SMB,APAC,Organic,82.45
C000063,2022-01-01,2024-06-01,SMB,US,Organic,111.81
C000064,2022-01-01,,Mid,EU,Organic,950.99
C000065,2022-01-01,2022-03-01,SMB,EU,Organic,109.56
C000066,2022-01-01,,SMB,APAC,Organic,124.17
C000067,2022-01-01,2024-08-01,SMB,US,Organic,132.15
C000068,2022-01-01,,Mid,EU,Paid Search,370.13
C000069,2022-01-01,2022-06-01,Mid,APAC,Social,631.94
C000070,2022-01-01,2023-11-01,SMB,EU,Organic,126.44
C000071,2022-01-01,2022-06-01,SMB,APAC,Organic,105.18
C000072,2022-01-01,2022-08-01,SMB,EU,Paid Search,80.56
C000073,2022-01-01,2024-01-01,SMB,APAC,Social,52.15
C000074,2022-01-01,2022-05-01,SMB,US,Social,77.34
C000075,2022-01-01,2024-08-01,SMB,US,Referral,76.02
C000076,2022-01-01,2022-05-01,SMB,US,Organic,70.43
C000077,2022-01-01,2023-02-01,Mid,EU,Social,559.5
C000078,2022-01-01,2025-06-01,SMB,US,Organic,121.34
C000079,2022-01-01,2022-05-01,SMB,US,Paid Search,93.83
C000080,2022-01-01,2022-12-01,SMB,APAC,Organic,121.08
C000081,2022-01-01,2022-08-01,SMB,EU,Organic,104.88
C000082,2022-01-01,2022-07-01,SMB,US,Organic,99.09
C000083,2022-01-01,2022-09-01,SMB,APAC,Organic,84.18
C000084,2022-01-01,2022-02-01,SMB,EU,Paid Search,58.98
C000085,2022-01-01,2023-04-01,SMB,APAC,Organic,54.0
C000086,2022-01-01,,SMB,APAC,Paid Search,125.34
C000087,2022-01-01,2023-11-01,SMB,US,Paid Search,104.33
C000088,2022-01-01,2023-09-01,SMB,APAC,Social,81.19
C000089,2022-01-01,2022-03-01,Mid,EU,Paid Search,769.38
C000090,2022-01-01,2022-08-01,SMB,EU,Organic,24.54
C000091,2022-01-01,2022-05-01,SMB,US,Social,48.16
C000092,2022-01-01,2022-04-01,SMB,EU,Paid Search,65.5
C000093,2022-01-01,2024-11-01,Mid,APAC,Organic,795.84
C000094,2022-01-01,,Mid,US,Referral,615.55
C000095,2022-01-01,2023-07-01,Enterprise,US,Organic,3147.08
C000096,2022-01-01,2022-04-01,SMB,US,Paid Search,94.62
C000097,2022-01-01,2022-04-01,SMB,US,Paid Search,89.61
C000098,2022-01-01,2022-08-01,SMB,US,Social,71.52
C000099,2022-01-01,2022-02-01,Mid,US,Social,458.42
C000100,2022-01-01,2023-10-01,SMB,APAC,Organic,71.46
C000101,2022-01-01,2022-05-01,SMB,EU,Paid Search,66.95
C000102,2022-01-01,2022-10-01,SMB,US,Social,91.88
C000103,2022-01-01,2025-02-01,SMB,APAC,Paid Search,102.26
C000104,2022-01-01,2022-06-01,SMB,US,Paid Search,92.35
C000105,2022-01-01,2022-03-01,SMB,EU,Social,92.48
C000106,2022-01-01,2024-01-01,Mid,US,Social,356.68
C000107,2022-01-01,2022-05-01,SMB,EU,Paid Search,61.63
C000108,2022-01-01,,Mid,EU,Organic,704.1
C000109,2022-01-01,2023-12-01,SMB,EU,Social,61.53
C000110,2022-01-01,2022-10-01,Enterprise,US,Organic,1321.35
C000111,2022-01-01,2022-12-01,SMB,US,Organic,88.88
C000112,2022-01-01,2022-11-01,SMB,APAC,Referral,71.12
C000113,2022-01-01,2022-04-01,SMB,APAC,Referral,65.74
C000114,2022-01-01,2024-04-01,SMB,US,Organic,64.57
C000115,2022-01-01,2024-01-01,SMB,EU,Organic,91.04
C000116,2022-01-01,2022-03-01,SMB,US,Paid Search,41.99
C000117,2022-01-01,2022-03-01,SMB,APAC,Organic,43.91
C000118,2022-01-01,,Mid,APAC,Organic,731.91
C000119,2022-01-01,2023-07-01,SMB,US,Organic,81.83
C000120,2022-01-01,2022-10-01,Mid,EU,Organic,339.43
C000121,2022-01-01,2022-03-01,SMB,EU,Organic,56.35
C000122,2022-01-01,2022-02-01,SMB,US,Organic,126.53
C000123,2022-01-01,2023-08-01,SMB,US,Organic,77.01
C000124,2022-01-01,2023-05-01,SMB,US,Organic,91.27
C000125,2022-01-01,2022-04-01,SMB,EU,Paid Search,71.25
C000126,2022-01-01,2025-05-01,Mid,US,Social,605.08
C000127,2022-01-01,2022-08-01,SMB,EU,Social,98.06
C000128,2022-01-01,,Enterprise,US,Referral,3817.11
C000129,2022-01-01,2023-02-01,SMB,APAC,Social,52.57
C000130,2022-01-01,,Mid,US,Organic,479.02
C000131,2022-01-01,2022-12-01,SMB,EU,Organic,108.12
C000132,2022-01-01,2023-05-01,SMB,EU,Organic,98.44
C000133,2022-01-01,2023-02-01,Mid,US,Organic,496.05
C000134,2022-01-01,2022-02-01,SMB,EU,Paid Search,90.78
C000135,2022-01-01,2022-11-01,Mid,APAC,Referral,813.08
C000136,2022-01-01,2025-06-01,Mid,EU,Paid Search,462.87
C000137,2022-01-01,2022-05-01,SMB,EU,Paid Search,77.08
C000138,2022-01-01,,Mid,US,Social,575.9
C000139,2022-01-01,2025-05-01,SMB,US,Paid Search,74.62
C000140,2022-01-01,2022-06-01,SMB,US,Organic,48.89
C000141,2022-01-01,2022-04-01,SMB,US,Referral,71.05
C000142,2022-01-01,2023-06-01,Mid,US,Organic,500.74
C000143,2022-01-01,2023-03-01,SMB,US,Organic,79.24
C000144,2022-01-01,2023-11-01,Mid,US,Organic,606.44
C000145,2022-01-01,2022-04-01,SMB,US,Paid Search,93.37
C000146,2022-01-01,2022-07-01,SMB,US,Organic,82.57
C000147,2022-01-01,2022-10-01,SMB,APAC,Organic,68.05
C000148,2022-01-01,2022-08-01,SMB,US,Social,103.28
C000149,2022-01-01,2023-04-01,SMB,EU,Paid Search,72.92
C000150,2022-01-01,2022-07-01,SMB,US,Organic,77.11
C000151,2022-01-01,,Enterprise,EU,Paid Search,3981.45
C000152,2022-01-01,2024-09-01,SMB,APAC,Social,89.36
C000153,2022-01-01,2023-07-01,SMB,APAC,Organic,103.7
C000154,2022-01-01,2022-10-01,SMB,APAC,Organic,105.4
C000155,2022-01-01,2022-04-01,Mid,US,Organic,294.88
C000156,2022-01-01,2024-01-01,Mid,US,Paid Search,835.31
C000157,2022-01-01,2023-04-01,SMB,EU,Organic,71.61
C000158,2022-01-01,2023-10-01,Enterprise,APAC,Organic,3120.4
C000159,2022-01-01,2022-11-01,SMB,EU,Referral,99.92
C000160,2022-01-01,2022-07-01,Mid,US,Organic,218.11
C000161,2022-01-01,2022-07-01,SMB,EU,Social,66.93
C000162,2022-01-01,2024-10-01,SMB,US,Organic,37.98
C000163,2022-01-01,,SMB,US,Social,42.88
C000164,2022-01-01,2025-08-01,SMB,US,Organic,73.49
C000165,2022-01-01,2022-11-01,SMB,EU,Referral,70.35
C000166,2022-01-01,2024-03-01,Mid,APAC,Social,618.22
C000167,2022-01-01,2022-02-01,SMB,US,Social,61.29
C000168,2022-01-01,2022-02-01,SMB,US,Paid Search,38.76
C000169,2022-01-01,2022-07-01,SMB,EU,Social,108.39
C000170,2022-01-01,2022-03-01,SMB,US,Organic,99.95
C000171,2022-01-01,2022-10-01,SMB,US,Paid Search,101.02
C000172,2022-01-01,2025-05-01,Mid,EU,Paid Search,722.42
C000173,2022-01-01,2022-09-01,SMB,US,Social,95.09
C000174,2022-01-01,2023-04-01,SMB,EU,Organic,93.39
C000175,2022-01-01,2025-07-01,SMB,EU,Organic,79.77
C000176,2022-01-01,2022-11-01,SMB,EU,Social,94.04
C000177,2022-01-01,2022-06-01,SMB,EU,Referral,88.18
C000178,2022-01-01,2025-06-01,Mid,EU,Paid Search,694.55
C000179,2022-01-01,,Mid,US,Paid Search,350.99
C000180,2022-01-01,2024-07-01,Mid,US,Organic,627.32
C000181,2022-01-01,2023-05-01,SMB,APAC,Social,75.41
C000182,2022-01-01,2023-08-01,SMB,US,Organic,98.97
C000183,2022-01-01,,Mid,EU,Paid Search,838.23
C000184,2022-01-01,2024-09-01,SMB,APAC,Social,82.18
C000185,2022-01-01,,Mid,APAC,Social,981.86
C000186,2022-01-01,2023-02-01,SMB,US,Social,119.4
C000187,2022-01-01,2023-05-01,SMB,EU,Organic,91.27
C000188,2022-01-01,2024-08-01,SMB,US,Social,58.75
C000189,2022-01-01,,Mid,EU,Paid Search,555.99
C000190,2022-01-01,2024-08-01,Mid,EU,Social,508.46
C000191,2022-01-01,,SMB,APAC,Organic,79.26
C000192,2022-01-01,2024-08-01,Mid,US,Paid Search,466.68
C000193,2022-01-01,2022-07-01,SMB,EU,Referral,126.36
C000194,2022-01-01,,Enterprise,US,Referral,2379.21
C000195,2022-01-01,,SMB,US,Paid Search,72.42
C000196,2022-01-01,2022-08-01,SMB,EU,Paid Search,64.97
C000197,2022-01-01,2022-04-01,Mid,EU,Organic,351.3
C000198,2022-01-01,2024-07-01,SMB,US,Organic,69.7
C000199,2022-01-01,2022-10-01,Mid,US,Organic,722.43
C000200,2022-01-01,2022-12-01,SMB,EU,Paid Search,69.72
C000201,2022-02-01,2022-12-01,SMB,US,Paid Search,89.85
C000202,2022-02-01,2022-12-01,SMB,US,Referral,70.75
C000203,2022-02-01,2022-04-01,SMB,APAC,Organic,113.82
C000204,2022-02-01,2022-03-01,SMB,US,Paid Search,41.79
C000205,2022-02-01,2022-07-01,SMB,EU,Referral,129.09
C000206,2022-02-01,2024-01-01,SMB,US,Referral,98.82
C000207,2022-02-01,2025-01-01,SMB,US,Organic,99.45
C000208,2022-02-01,2022-05-01,SMB,US,Social,89.3
C000209,2022-02-01,2025-05-01,Enterprise,APAC,Organic,2747.8
C000210,2022-02-01,2023-11-01,SMB,US,Social,106.55
C000211,2022-02-01,2024-10-01,SMB,US,Paid Search,69.91
C000212,2022-02-01,2024-06-01,SMB,EU,Organic,79.3
C000213,2022-02-01,2024-01-01,SMB,EU,Social,50.35
C000214,2022-02-01,,Enterprise,APAC,Organic,4287.06
C000215,2022-02-01,2023-05-01,Mid,APAC,Paid Search,742.44
C000216,2022-02-01,2022-10-01,SMB,EU,Referral,91.97
C000217,2022-02-01,2022-11-01,Mid,US,Organic,676.01
C000218,2022-02-01,2023-02-01,SMB,APAC,Paid Search,43.26
C000219,2022-02-01,,Mid,US,Organic,530.07
C000220,2022-02-01,2022-06-01,SMB,APAC,Social,63.92
C000221,2022-02-01,2024-08-01,Mid,US,Social,992.0
C000222,2022-02-01,2023-09-01,SMB,APAC,Paid Search,98.74
C000223,2022-02-01,2022-04-01,SMB,US,Paid Search,31.87
C000224,2022-02-01,2022-12-01,SMB,US,Referral,78.0
C000225,2022-02-01,2023-08-01,SMB,EU,Paid Search,96.14
C000226,2022-02-01,2023-08-01,SMB,APAC,Paid Search,64.53
C000227,2022-02-01,2023-07-01,SMB,EU,Paid Search,64.72
C000228,2022-02-01,2024-06-01,SMB,US,Organic,81.03
C000229,2022-02-01,2022-06-01,SMB,EU,Referral,68.43
C000230,2022-02-01,2022-03-01,SMB,EU,Social,71.57
C000231,2022-02-01,2023-03-01,SMB,US,Referral,121.91
C000232,2022-02-01,2022-12-01,Mid,EU,Organic,566.82
C000233,2022-02-01,2023-04-01,SMB,EU,Referral,73.43
C000234,2022-02-01,2022-09-01,Mid,EU,Referral,634.78
C000235,2022-02-01,,Mid,US,Paid Search,482.33
C000236,2022-02-01,2022-05-01,SMB,APAC,Social,67.95
C000237,2022-02-01,2023-03-01,SMB,EU,Social,57.01
C000238,2022-02-01,2022-11-01,SMB,APAC,Organic,124.61
C000239,2022-02-01,2022-06-01,SMB,US,Organic,71.42
C000240,2022-02-01,2022-09-01,SMB,US,Organic,63.83
C000241,2022-02-01,,SMB,EU,Organic,109.22
C000242,2022-02-01,2022-03-01,SMB,US,Organic,95.27
C000243,2022-02-01,2024-11-01,SMB,US,Paid Search,91.06
C000244,2022-02-01,2022-03-01,SMB,US,Paid Search,89.91
C000245,2022-02-01,2022-09-01,SMB,US,Organic,29.29
C000246,2022-02-01,2024-03-01,SMB,APAC,Referral,55.96
C000247,2022-02-01,2022-04-01,SMB,EU,Paid Search,87.77
C000248,2022-02-01,2022-09-01,SMB,EU,Organic,44.92
C000249,2022-02-01,2022-06-01,SMB,US,Social,75.97
C000250,2022-02-01,2023-05-01,SMB,EU,Organic,109.99
C000251,2022-02-01,2023-08-01,SMB,US,Organic,105.39
C000252,2022-02-01,2023-11-01,SMB,EU,Organic,85.79
C000253,2022-02-01,2025-01-01,SMB,EU,Organic,71.47
C000254,2022-02-01,2022-04-01,SMB,EU,Paid Search,78.47
C000255,2022-02-01,2022-10-01,SMB,APAC,Referral,103.53
C000256,2022-02-01,2023-06-01,SMB,US,Referral,127.14
C000257,2022-02-01,2024-04-01,SMB,EU,Referral,101.3
C000258,2022-02-01,2022-03-01,SMB,EU,Paid Search,80.54
C000259,2022-02-01,2024-01-01,SMB,APAC,Referral,87.26
C000260,2022-02-01,2022-08-01,SMB,APAC,Organic,91.65
C000261,2022-02-01,2023-01-01,SMB,APAC,Referral,64.31
C000262,2022-02-01,2023-10-01,SMB,US,Organic,131.35
C000263,2022-02-01,,Mid,US,Social,926.92
C000264,2022-02-01,2023-01-01,SMB,US,Organic,124.12
C000265,2022-02-01,2024-08-01,Mid,APAC,Organic,290.48
C000266,2022-02-01,2022-07-01,SMB,US,Organic,102.79
C000267,2022-02-01,2024-10-01,Mid,US,Paid Search,841.87
C000268,2022-02-01,2023-09-01,SMB,US,Referral,84.59
C000269,2022-02-01,2024-03-01,SMB,APAC,Social,82.78
C000270,2022-02-01,2024-02-01,Mid,US,Paid Search,426.69
C000271,2022-02-01,2022-05-01,SMB,EU,Organic,34.3
C000272,2022-02-01,2025-07-01,Mid,US,Social,668.3
C000273,2022-02-01,2024-05-01,SMB,US,Paid Search,66.17
C000274,2022-02-01,,SMB,US,Paid Search,95.31
C000275,2022-02-01,2023-11-01,SMB,US,Paid Search,101.3
C000276,2022-02-01,2022-03-01,SMB,US,Organic,36.46
C000277,2022-02-01,2023-08-01,SMB,US,Organic,87.06
C000278,2022-02-01,2025-05-01,Mid,US,Referral,827.88
C000279,2022-02-01,2024-12-01,SMB,US,Paid Search,67.8
C000280,2022-02-01,2022-07-01,Mid,EU,Paid Search,512.44
C000281,2022-02-01,2023-12-01,SMB,US,Social,100.08
C000282,2022-02-01,,Mid,US,Paid Search,652.91
C000283,2022-02-01,2024-12-01,Mid,APAC,Social,574.04
C000284,2022-02-01,2022-04-01,Mid,US,Referral,488.35
C000285,2022-02-01,2024-12-01,Mid,US,Social,773.26
C000286,2022-02-01,,Mid,EU,Organic,607.62
C000287,2022-02-01,2025-06-01,SMB,EU,Organic,54.29
C000288,2022-02-01,2022-12-01,SMB,APAC,Social,57.25
C000289,2022-02-01,2022-03-01,SMB,US,Paid Search,85.54
C000290,2022-03-01,2024-03-01,Mid,US,Organic,727.25
C000291,2022-03-01,2022-09-01,SMB,US,Social,96.21
C000292,2022-03-01,2024-02-01,SMB,APAC,Paid Search,69.15
C000293,2022-03-01,2022-08-01,SMB,US,Organic,85.36
C000294,2022-03-01,2023-02-01,SMB,APAC,Organic,121.57
C000295,2022-03-01,2023-02-01,SMB,US,Organic,47.57
C000296,2022-03-01,2023-12-01,SMB,US,Paid Search,46.38
C000297,2022-03-01,2022-10-01,SMB,EU,Referral,75.03
C000298,2022-03-01,2025-08-01,Mid,US,Paid Search,838.83
C000299,2022-03-01,2022-10-01,SMB,US,Organic,63.9
C000300,2022-03-01,2024-03-01,Mid,EU,Organic,401.83
C000301,2022-03-01,2022-05-01,SMB,US,Organic,67.14
C000302,2022-03-01,2022-05-01,SMB,EU,Paid Search,105.68
C000303,2022-03-01,2022-11-01,SMB,EU,Referral,107.17
C000304,2022-03-01,2022-05-01,SMB,EU,Organic,83.8
C000305,2022-03-01,2022-05-01,Mid,EU,Paid Search,484.49
C000306,2022-03-01,2022-12-01,SMB,APAC,Paid Search,92.79
C000307,2022-03-01,2022-05-01,SMB,APAC,Organic,148.72
C000308,2022-03-01,,Mid,US,Organic,775.85
C000309,2022-03-01,2023-04-01,SMB,APAC,Paid Search,99.4
C000310,2022-03-01,2022-04-01,SMB,US,Organic,72.4
C000311,2022-03-01,2023-04-01,Mid,US,Social,850.44
C000312,2022-03-01,2023-09-01,SMB,US,Paid Search,98.39
C000313,2022-03-01,2024-10-01,SMB,APAC,Referral,86.35
C000314,2022-03-01,2024-06-01,SMB,US,Social,74.48
C000315,2022-03-01,2023-02-01,SMB,US,Organic,36.02
C000316,2022-03-01,2022-06-01,Mid,APAC,Paid Search,752.41
C000317,2022-03-01,2023-08-01,Mid,US,Social,921.91
C000318,2022-03-01,2022-10-01,SMB,EU,Referral,87.75
C000319,2022-03-01,2023-09-01,SMB,APAC,Paid Search,87.87
C000320,2022-03-01,,SMB,EU,Paid Search,69.46
C000321,2022-03-01,2022-04-01,SMB,APAC,Social,68.93
C000322,2022-03-01,2023-09-01,Mid,US,Organic,681.03
C000323,2022-03-01,2023-07-01,SMB,US,Social,69.07
C000324,2022-03-01,2022-07-01,SMB,US,Paid Search,133.03
C000325,2022-03-01,2023-05-01,Mid,EU,Organic,464.73
C000326,2022-03-01,,Mid,US,Social,733.48
C000327,2022-03-01,2022-08-01,Mid,US,Social,542.3
C000328,2022-03-01,2023-06-01,SMB,EU,Paid Search,91.47
C000329,2022-03-01,2023-08-01,SMB,APAC,Social,86.06
C000330,2022-03-01,2022-09-01,SMB,EU,Organic,91.6
C000331,2022-03-01,2022-09-01,SMB,US,Paid Search,97.25
C000332,2022-03-01,2024-04-01,Mid,US,Organic,86.78
C000333,2022-03-01,2022-05-01,SMB,US,Paid Search,72.19
C000334,2022-03-01,2025-07-01,Mid,EU,Organic,987.04
C000335,2022-03-01,,Mid,US,Organic,1132.92
C000336,2022-03-01,2022-09-01,Mid,US,Paid Search,384.61
C000337,2022-03-01,2022-08-01,SMB,US,Organic,76.91
C000338,2022-03-01,2022-05-01,Mid,US,Social,769.9
C000339,2022-03-01,2025-03-01,SMB,US,Social,89.55
C000340,2022-03-01,2023-02-01,SMB,EU,Referral,99.53
C000341,2022-03-01,2023-04-01,SMB,EU,Organic,85.62
C000342,2022-03-01,,Mid,EU,Referral,849.23
C000343,2022-03-01,,Mid,EU,Referral,969.41
C000344,2022-03-01,,SMB,EU,Referral,89.44
C000345,2022-03-01,2023-03-01,Mid,US,Paid Search,638.27
C000346,2022-03-01,2023-04-01,Mid,US,Paid Search,719.15
C000347,2022-03-01,2022-08-01,Mid,US,Organic,842.06
C000348,2022-03-01,,Enterprise,EU,Organic,3254.83
C000349,2022-03-01,2023-03-01,SMB,EU,Paid Search,99.78
C000350,2022-03-01,2022-08-01,SMB,APAC,Organic,103.59
C000351,2022-03-01,2022-05-01,SMB,US,Organic,75.06
C000352,2022-03-01,,SMB,US,Paid Search,71.72
C000353,2022-03-01,2024-02-01,Mid,EU,Organic,293.97
C000354,2022-03-01,2024-09-01,Mid,US,Paid Search,755.19
C000355,2022-03-01,2023-01-01,SMB,APAC,Social,43.0
C000356,2022-03-01,2023-10-01,SMB,US,Organic,75.75
C000357,2022-03-01,2024-11-01,SMB,EU,Social,75.85
C000358,2022-03-01,2023-08-01,Mid,EU,Organic,392.37
C000359,2022-03-01,,Mid,EU,Paid Search,568.15
C000360,2022-03-01,2022-04-01,SMB,US,Paid Search,73.87
C000361,2022-03-01,2022-11-01,SMB,APAC,Paid Search,62.49
C000362,2022-03-01,2022-07-01,SMB,EU,Organic,80.08
C000363,2022-03-01,2023-03-01,SMB,EU,Social,96.06
C000364,2022-03-01,2023-12-01,SMB,US,Organic,122.77
C000365,2022-03-01,2025-04-01,Mid,US,Social,348.2
C000366,2022-03-01,,SMB,EU,Paid Search,94.05
C000367,2022-03-01,,Mid,APAC,Organic,518.68
C000368,2022-03-01,2025-01-01,SMB,US,Social,74.41
C000369,2022-03-01,2023-11-01,SMB,US,Social,82.54
C000370,2022-03-01,2023-03-01,SMB,US,Referral,90.1
C000371,2022-03-01,2022-05-01,SMB,US,Referral,93.67
C000372,2022-03-01,2022-06-01,SMB,EU,Paid Search,86.06
C000373,2022-03-01,2022-06-01,SMB,US,Organic,57.97
C000374,2022-03-01,2023-05-01,SMB,US,Paid Search,77.2
C000375,2022-03-01,2023-04-01,SMB,APAC,Referral,80.76
C000376,2022-03-01,2022-10-01,SMB,EU,Organic,76.71
C000377,2022-03-01,,SMB,APAC,Organic,82.45
C000378,2022-04-01,2024-02-01,Mid,US,Social,669.23
C000379,2022-04-01,2024-02-01,SMB,EU,Paid Search,75.57
C000380,2022-04-01,2022-08-01,Enterprise,APAC,Social,2376.18
C000381,2022-04-01,2022-05-01,SMB,EU,Paid Search,135.33
C000382,2022-04-01,2024-08-01,SMB,US,Paid Search,64.68
C000383,2022-04-01,2024-12-01,SMB,US,Organic,115.48
C000384,2022-04-01,2022-07-01,Mid,US,Organic,138.67
C000385,2022-04-01,2022-08-01,Mid,EU,Social,601.49
C000386,2022-04-01,2025-08-01,Enterprise,US,Organic,2916.0
C000387,2022-04-01,2022-09-01,SMB,EU,Organic,96.17
C000388,2022-04-01,2022-09-01,SMB,APAC,Organic,59.34
C000389,2022-04-01,2022-08-01,SMB,US,Referral,93.66
C000390,2022-04-01,,Enterprise,US,Paid Search,3219.8
C000391,2022-04-01,2022-12-01,Mid,EU,Organic,861.67
C000392,2022-04-01,2025-01-01,Mid,APAC,Organic,776.27
C000393,2022-04-01,2024-02-01,SMB,EU,Organic,46.62
C000394,2022-04-01,2022-10-01,SMB,EU,Organic,67.01
C000395,2022-04-01,2023-06-01,SMB,EU,Social,91.3
C000396,2022-04-01,2024-10-01,Mid,APAC,Organic,437.29
C000397,2022-04-01,2022-11-01,SMB,US,Referral,63.75
C000398,2022-04-01,2023-07-01,SMB,EU,Paid Search,62.7
C000399,2022-04-01,2024-04-01,SMB,US,Referral,102.57
C000400,2022-04-01,,Enterprise,EU,Organic,2317.75
C000401,2022-04-01,2024-10-01,Mid,US,Paid Search,687.77
C000402,2022-04-01,2023-01-01,SMB,US,Referral,98.58
C000403,2022-04-01,2022-09-01,SMB,EU,Organic,50.55
C000404,2022-04-01,2022-05-01,SMB,US,Organic,97.19
C000405,2022-04-01,2022-07-01,SMB,US,Organic,81.57
C000406,2022-04-01,2022-07-01,Enterprise,US,Social,5072.46
C000407,2022-04-01,2022-07-01,SMB,APAC,Organic,82.06
C000408,2022-04-01,2024-02-01,SMB,APAC,Paid Search,96.95
C000409,2022-04-01,2024-10-01,SMB,US,Organic,88.74
C000410,2022-04-01,2023-01-01,SMB,US,Paid Search,46.43
C000411,2022-04-01,,SMB,US,Organic,87.03
C000412,2022-04-01,2022-05-01,Mid,APAC,Referral,417.92
C000413,2022-04-01,2023-06-01,SMB,US,Referral,75.19
C000414,2022-04-01,2023-04-01,Mid,US,Organic,896.26
C000415,2022-04-01,2022-12-01,SMB,EU,Social,98.18
C000416,2022-04-01,2022-06-01,Mid,US,Paid Search,294.99
C000417,2022-04-01,2025-07-01,Mid,EU,Paid Search,452.14
C000418,2022-04-01,2022-11-01,SMB,EU,Social,36.91
C000419,2022-04-01,2022-10-01,SMB,APAC,Organic,54.5
C000420,2022-04-01,2022-08-01,SMB,APAC,Referral,84.62
C000421,2022-04-01,2022-06-01,SMB,APAC,Paid Search,73.8
C000422,2022-04-01,2022-06-01,SMB,APAC,Organic,63.5
C000423,2022-04-01,2022-07-01,SMB,US,Organic,73.65
C000424,2022-04-01,2022-10-01,SMB,APAC,Paid Search,94.63
C000425,2022-04-01,2023-06-01,SMB,EU,Social,96.27
C000426,2022-04-01,,SMB,US,Organic,92.8
C000427,2022-04-01,2022-10-01,Mid,US,Social,425.76
C000428,2022-04-01,2022-06-01,SMB,EU,Paid Search,74.91
